"","X","Sample","Avg_iCO2","StdDev_iCO2","Correction","CorrectedAverage","Day"
"1",1,"syn1",-15.1927150969552,0.488041723550058,0.369689045,-14.8230260519552,"July18"
"2",2,"syn5",-12.9860299165302,0.357793207395362,0.369689045,-12.6163408715302,"July18"
"3",3,"syn8",-14.4883626265449,0.215290164387248,0.369689045,-14.1186735815449,"July18"
"4",4,"syn11",-14.9649372265655,0.284650173525752,0.369689045,-14.5952481815655,"July18"
"5",5,"syn14",-13.6062493312242,0.362804177868761,0.369689045,-13.2365602862242,"July18"
"6",6,"synBW",-13.9694745286778,0.235504761321452,0.369689045,-13.5997854836778,"July18"
"7",7,"syn20",-16.4686472864646,0.209620359812965,0.369689045,-16.0989582414646,"July18"
"8",8,"syn23",-15.4967744702279,0.286086678494429,0.369689045,-15.1270854252279,"July18"
"9",9,"syn29",-13.9230413575876,0.614059021933183,0.369689045,-13.5533523125876,"July18"
"10",10,"syn35",-13.8176119302468,0.312622722306467,0.369689045,-13.4479228852468,"July18"
"11",1,"syn1",-15.254499248929,0.562947723965333,-0.007594961,-15.262094209929,"July31"
"12",2,"syn5",-14.2894627922887,0.39461855923585,-0.007594961,-14.2970577532887,"July31"
"13",3,"syn8",-15.9956756544323,0.433192538010773,-0.007594961,-16.0032706154323,"July31"
"14",4,"syn11",-15.6454291437129,0.354790286913195,-0.007594961,-15.6530241047129,"July31"
"15",5,"syn14",-15.24192640418,0.301332042876035,-0.007594961,-15.24952136518,"July31"
"16",6,"synBW",-13.950900630814,0.773103703725004,-0.007594961,-13.958495591814,"July31"
"17",7,"syn20",-12.9978743680392,0.420074460971847,-0.007594961,-13.0054693290392,"July31"
"18",8,"syn23",-15.4797026576338,0.381802009138297,-0.007594961,-15.4872976186338,"July31"
"19",9,"syn29",-15.168620856522,0.243801488539305,-0.007594961,-15.176215817522,"July31"
"20",10,"syn35",-15.1396492547097,0.24042194008646,-0.007594961,-15.1472442157097,"July31"
"21",1,"syn1",-13.6559555066765,0.223039610124963,-0.107759384,-13.7637148906765,"Aug06"
"22",2,"syn5",-12.0403427396552,0.321764708691578,-0.107759384,-12.1481021236552,"Aug06"
"23",3,"syn8",-13.4493927956529,0.405892405167071,-0.107759384,-13.5571521796529,"Aug06"
"24",4,"syn11",-12.4163262034605,0.76133922203422,-0.107759384,-12.5240855874605,"Aug06"
"25",5,"syn14",-10.8456802162093,0.439712564855115,-0.107759384,-10.9534396002093,"Aug06"
"26",6,"synBW",-11.9281577705888,0.539543803914877,-0.107759384,-12.0359171545888,"Aug06"
"27",7,"syn20",-13.9162986055303,0.321941602223029,-0.107759384,-14.0240579895303,"Aug06"
"28",8,"syn23",-14.124676646187,0.792042544519021,-0.107759384,-14.232436030187,"Aug06"
"29",9,"syn29",-11.9965809267865,0.335922094734685,-0.107759384,-12.1043403107865,"Aug06"
"30",1,"syn1",-14.7371559874943,0.472378553305316,-1.841025326,-16.5781813134943,"Aug12"
"31",2,"syn5",-14.8127029748607,0.300156693557076,-1.841025326,-16.6537283008607,"Aug12"
"32",3,"syn8",-13.9115531302394,0.767890788288839,-1.841025326,-15.7525784562394,"Aug12"
"33",4,"syn11",-14.2146083056825,0.821856664261997,-1.841025326,-16.0556336316825,"Aug12"
"34",5,"syn14",-10.6723874889163,0.685218966376555,-1.841025326,-12.5134128149163,"Aug12"
"35",6,"synBW",-11.3747091246957,1.61203756764722,-1.841025326,-13.2157344506957,"Aug12"
"36",7,"syn20",-13.6589687989359,0.333650413080542,-1.841025326,-15.4999941249359,"Aug12"
"37",8,"syn23",-14.1774489861757,0.122639509423867,-1.841025326,-16.0184743121757,"Aug12"
"38",9,"syn29",-15.3358550840085,0.177351467410682,-1.841025326,-17.1768804100085,"Aug12"
"39",10,"syn35",-14.6163917851531,0.336995478215512,-1.841025326,-16.4574171111531,"Aug12"
